380,range,域,"range, soil, dirt, ground, pope, fiesta, mouth, one, floor"
381,burglar,賊,"burglar, shellfish, clam, oyster, eye, animal legs, eight, ten, needle, fiesta"
382,plantation,栽,"plantation, Thanksgiving, harvest festival, ten, needle, fiesta, tree, wood"
383,load,載,"load, Thanksgiving, harvest festival, ten, needle, fiesta, car, vehicle"
384,overgrown,茂,"overgrown, flowers, parade"
386,turn into,成,"turn into, parade, sword, dagger"
387,castle,城,"castle, soil, dirt, ground, turn into, parade, sword, dagger"
388,sincerity,誠,"sincerity, say, words, keitai, mouth, turn into, sword, dagger, parade"
389,intimidate,威,"intimidate, march, women, woman"
390,destroy,滅,"destroy, water, water droplets, water pistol, march, fire"
391,dwindle,減,"dwindle, water, water droplets, water pistol, march, mouth"
393,scaffold,桟,"scaffold, tree, wood, float, fiesta"
394,coin,銭,"coin, metal, gold, float, fiesta"
395,shallow,浅,"shallow, water, water droplets, water pistol, float, fiesta"
396,stop,止,"stop, footprint"
397,walk,歩,"walk, stop, footprint, few"
398,ford,渉,"ford, water, water droplets, water pistol, walk, stop, footprint, few"
399,repeatedly,頻,"repeatedly, walk, stop, footprint, few, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
400,agreement,肯,"agreement, stop, footprint, moon, month, flesh, part of the body"
401,undertake,企,"undertake, umbrella, stop, footprint"
402,curriculum,歴,"curriculum, cliff, grove, tree, wood, stop, footprint, tree2, wood2"
403,warrior,武,"warrior, one, arrow, stop, footprint"
404,levy,賦,"levy, shellfish, clam, oyster, eye, animal legs, eight, warrior, one, stop, footprint, arrow"
405,correct,正,"correct, one, ceiling, stop, footprint"
406,evidence,証,"evidence, say, words, keitai, mouth, correct, one, ceiling, stop, footprint"
407,politics,政,"politics, correct, one, ceiling, stop, footprint, taskmaster"
408,determine,定,"determine, house, mend"
409,lock,錠,"lock, metal, gold, determine, determined, house, mend"
410,run,走,"run, soil, dirt, ground, mend"
411,transcend,超,"transcend, run, soil, dirt, ground, mend, summon, seduce, sword, dagger, mouth"
412,proceed,赴,"proceed, run, soil, dirt, ground, mend, magic wand, augury"
413,surpass,越,"surpass, run, soil, dirt, ground, mend, parade"
414,just so,是,"just so, sun, day, mend"
415,topic,題,"topic, just so, sun, day, mend, head, page, one, ceiling, drop, shellfish, clam, oyster, eye, animal legs, eight"
416,dike,堤,"dike, soil, dirt, ground, just so, sun, day, mend"
417,build,建,"build, brush, stretch"
419,prolong,延,"prolong, drop, stop, footprint, stretch"
420,nativity,誕,"nativity, say, words, keitai, mouth, prolonged, drop, stop, footprint, stretch"
421,cornerstone,礎,"cornerstone, stone, rock, grove, tree, wood, zoo, critters, tree2, wood2"
422,bridegroom,婿,"bridegroom, woman, zoo, critters, moon, month, flesh, part of the body"
423,garment,衣,"garment, top hat, scarf, cloth, clothes, clothing, garment"
424,tailor,裁,"tailor, Thanksgiving, harvest festival, ten, needle, fiesta, top hat, scarf, cloth, clothes, clothing, garment"
425,attire,装,"attire, turtle, samurai, top hat, scarf, cloth, clothes, clothing, garment"
426,back,裏,"back, top hat, scarf, computer"
427,demolition,壊,"demolition, soil, dirt, ground, poltergeist, BernaE, ten, needle, eye, cross-eyed, net, top hat, scarf, cloth, clothes, clothing, garment"
428,pathetic,哀,"pathetic, top hat, scarf, mouth"
429,distant,遠,"distant, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf, road"
430,monkey,猿,"monkey, pack of wild dogs, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf"
431,first time,初,"first time, cloak, sword, dagger"
433,linen,布,"linen, by one’s side, towel"
434,sail,帆,"sail, towel, mediocre, drop, wind"
435,hanging scroll,幅,"hanging scroll, towel, wealth, one, ceiling, mouth, rice field, brains"
436,cap,帽,"cap, towel, risk, sun, day, eye"
437,curtain,幕,"curtain, graveyard, flowers, sun, day, large, St. Bernard, towel"
438,canopy,幌,"canopy, towel, limpid, sun, day, ray, small, little, human legs"
439,brocade,錦,"brocade, metal, gold, napkin, white, dove, towel"
440,market,市,"market, top hat, towel"
442,elder sister,姉,"elder sister, woman, market, top hat, towel"
443,lungs,肺,"lungs, moon, month, flesh, part of the body, market, top hat, towel"
444,sash,帯,"sash, buckle, apron, crown, towel"
445,stagnate,滞,"stagnate, water, water droplets, water pistol, sash, buckle, apron, crown, towel"
446,thorn,刺,"thorn, tree, wood, belt, sword, sabre, saber"
447,system,制,"system, cow, belt, sword, sabre, saber"
448,made in...,製,"made in…, system, cow, belt, sword, sabre, saber, hat, scarf, cloth, clothes, clothing, garment"
449,revolve,転,"revolve, car, rising cloud, two, elbow, wall"
450,technique,芸,"technique, flowers, rising cloud, two, elbow, wall"
451,rain,雨,"rain, rain, weather"
452,cloud,雲,"cloud, rain, weather, rising cloud, two, elbow, wall"
453,cloudy weather,曇,"cloudy weather, sun, day, cloud, rain, weather, rising cloud, two, elbow, wall"
454,thunder,雷,"thunder, rain, weather, rice field, brains"
455,frost,霜,"frost, rain, weather, inter, Inter Milan, tree, wood, eye"
456,winter,冬,"winter, walking legs, ice"
457,heavens,天,"heavens, heavens, one, ceiling, large"
460,bridge,橋,"bridge, tree, wood, angel, heavens, mouth, hood, mouth, mouth2"
461,attractive,嬌,"attractive, woman, angel, heavens, mouth, hood, mouth, mouth2"
462,stand up,立,"stand up, vase, stand up"
